source synth/list_parts.tcl
# puts [format "%-24s %-14s %-8s %s" PART PACKAGE SPEED DEVICE]
PART                     PACKAGE        SPEED    DEVICE
# foreach part [lsort [get_parts]] {
#     set pkg    [get_property PACKAGE     [get_parts $part]]
#     set speed  [get_property SPEED       [get_parts $part]]
#     set device [get_property DEVICE      [get_parts $part]]
#     puts [format "%-24s %-14s %-8s %s" $part $pkg $speed $device]
# }
xc7a15tcpg236-3          cpg236         -3       xc7a15t
xc7a15tcsg324-1          csg324         -1       xc7a15t
xc7a15tcsg324-2          csg324         -2       xc7a15t
xc7a15tcsg324-2L         csg324         -2L      xc7a15t
xc7a15tcsg324-3          csg324         -3       xc7a15t
xc7a15tcsg325-1          csg325         -1       xc7a15t
xc7a15tcsg325-2          csg325         -2       xc7a15t
xc7a15tcsg325-2L         csg325         -2L      xc7a15t
xc7a15tcsg325-3          csg325         -3       xc7a15t
xc7a15tfgg484-1          fgg484         -1       xc7a15t
xc7a15tfgg484-2          fgg484         -2       xc7a15t
xc7a15tfgg484-2L         fgg484         -2L      xc7a15t
xc7a15tfgg484-3          fgg484         -3       xc7a15t
xc7a15tftg256-1          ftg256         -1       xc7a15t
xc7a15tftg256-2          ftg256         -2       xc7a15t
xc7a15tftg256-2L         ftg256         -2L      xc7a15t
xc7a15tftg256-3          ftg256         -3       xc7a15t
xc7a15ticpg236-1L        cpg236         -1L      xc7a15ti
xc7a15ticsg324-1L        csg324         -1L      xc7a15ti
xc7a15ticsg325-1L        csg325         -1L      xc7a15ti
xc7a15tifgg484-1L        fgg484         -1L      xc7a15ti
xc7a15tiftg256-1L        ftg256         -1L      xc7a15ti
xc7a15tlcpg236-2L        cpg236         -2L      xc7a15tl
xc7a15tlcsg324-2L        csg324         -2L      xc7a15tl
xc7a15tlcsg325-2L        csg325         -2L      xc7a15tl
xc7a15tlfgg484-2L        fgg484         -2L      xc7a15tl
xc7a15tlftg256-2L        ftg256         -2L      xc7a15tl
xc7a200tfbg484-1         fbg484         -1       xc7a200t
xc7a200tfbg484-2         fbg484         -2       xc7a200t
xc7a200tfbg484-2L        fbg484         -2L      xc7a200t
xc7a200tfbg484-3         fbg484         -3       xc7a200t
xc7a200tfbg676-1         fbg676         -1       xc7a200t
xc7a200tfbg676-2         fbg676         -2       xc7a200t
xc7a200tfbg676-2L        fbg676         -2L      xc7a200t
xc7a200tfbg676-3         fbg676         -3       xc7a200t
xc7a200tfbv484-1         fbv484         -1       xc7a200t
xc7a200tfbv484-2         fbv484         -2       xc7a200t
xc7a200tfbv484-2L        fbv484         -2L      xc7a200t
xc7a200tfbv484-3         fbv484         -3       xc7a200t
xc7a200tfbv676-1         fbv676         -1       xc7a200t
xc7a200tfbv676-2         fbv676         -2       xc7a200t
